matricula_ou_siape,data_emprestimo,tipo_vinculo_usuario,curso
20191005377,2019,ALUNO DE PÓS-GRADUAÇÃO,DIREITO
20180140444,2019,ALUNO DE GRADUAÇÃO,INOVAÇÃO EM TECNOLOGIAS EDUCACIONAIS
20150147220,2019,ALUNO DE GRADUAÇÃO,NANOTECNOLOGIA FARMACÊUTICA
20181033028,2019,ALUNO DE PÓS-GRADUAÇÃO,GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO
2014034040,2019,ALUNO DE GRADUAÇÃO,MATEMÁTICA APLICADA E ESTATÍSTICA
20170086533,2019,ALUNO DE GRADUAÇÃO,BIOLOGIA PARASITÁRIA
20171000130,2019,ALUNO DE PÓS-GRADUAÇÃO,GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO
20182045936,2019,ALUNO DE PÓS-GRADUAÇÃO,BIOECOLOGIA AQUÁTICA
20181028903,2019,ALUNO DE PÓS-GRADUAÇÃO,MATEMÁTICA APLICADA E ESTATÍSTICA
20171019802,2019,ALUNO DE PÓS-GRADUAÇÃO,DIREITO
20181031426,2019,ALUNO DE PÓS-GRADUAÇÃO,GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO
20181004250,2019,ALUNO DE PÓS-GRADUAÇÃO,GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO
20160113904,2019,ALUNO DE GRADUAÇÃO,ANTROPOLOGIA SOCIAL
20181001777,2019,ALUNO DE PÓS-GRADUAÇÃO,ANTROPOLOGIA SOCIAL
2012935754,2019,ALUNO DE GRADUAÇÃO,CIÊNCIAS CLIMÁTICAS
20180074035,2019,ALUNO DE GRADUAÇÃO,ANTROPOLOGIA SOCIAL
20171003295,2019,ALUNO DE PÓS-GRADUAÇÃO,GESTÃO PÚBLICA
20180086958,2019,ALUNO DE GRADUAÇÃO,DIREITO
20171030111,2019,ALUNO DE PÓS-GRADUAÇÃO,INOVAÇÃO EM TECNOLOGIAS EDUCACIONAIS
20191003612,2019,ALUNO DE PÓS-GRADUAÇÃO,GESTÃO PÚBLICA
20182050373,2019,ALUNO DE PÓS-GRADUAÇÃO,CIÊNCIAS CLIMÁTICAS
20170024334,2019,ALUNO DE GRADUAÇÃO,DIREITO
20170153180,2019,ALUNO DE GRADUAÇÃO,CIÊNCIAS CLIMÁTICAS
20160122921,2019,ALUNO DE GRADUAÇÃO,DIREITO
20181002371,2019,ALUNO DE PÓS-GRADUAÇÃO,GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO
20161032140,2019,ALUNO DE PÓS-GRADUAÇÃO,GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO
20171026413,2019,ALUNO DE PÓS-GRADUAÇÃO,ANTROPOLOGIA SOCIAL
20180077510,2019,ALUNO DE GRADUAÇÃO,EDUCAÇÃO
2015088761,2019,ALUNO DE GRADUAÇÃO,DIREITO
20170021397,2019,ALUNO DE GRADUAÇÃO,BIOECOLOGIA AQUÁTICA
20170000708,2019,ALUNO DE GRADUAÇÃO,GESTÃO PÚBLICA
20180123363,2019,ALUNO DE GRADUAÇÃO,MATEMÁTICA APLICADA E ESTATÍSTICA
2016091206,2019,ALUNO DE GRADUAÇÃO,EDUCAÇÃO
20170140781,2019,ALUNO DE GRADUAÇÃO,GESTÃO PÚBLICA
2014068924,2019,ALUNO DE GRADUAÇÃO,ANTROPOLOGIA SOCIAL
20170163472,2019,ALUNO DE GRADUAÇÃO,BIOECOLOGIA AQUÁTICA
20170118305,2019,ALUNO DE GRADUAÇÃO,BIOECOLOGIA AQUÁTICA
20160144615,2019,ALUNO DE GRADUAÇÃO,BIOLOGIA PARASITÁRIA
20171006279,2019,ALUNO DE PÓS-GRADUAÇÃO,DIREITO
2011043242,2019,ALUNO DE GRADUAÇÃO,MATEMÁTICA APLICADA E ESTATÍSTICA
20181018738,2019,ALUNO DE PÓS-GRADUAÇÃO,GESTÃO PÚBLICA
2015082605,2019,ALUNO DE GRADUAÇÃO,ANTROPOLOGIA SOCIAL
20180085852,2019,ALUNO DE GRADUAÇÃO,CIÊNCIAS CLIMÁTICAS
2016044500,2019,ALUNO DE GRADUAÇÃO,EDUCAÇÃO
20170140979,2019,ALUNO DE GRADUAÇÃO,NANOTECNOLOGIA FARMACÊUTICA
20181001937,2019,ALUNO DE PÓS-GRADUAÇÃO,MATEMÁTICA APLICADA E ESTATÍSTICA
20170029199,2019,ALUNO DE GRADUAÇÃO,DIREITO
20171001441,2019,ALUNO DE PÓS-GRADUAÇÃO,GESTÃO PÚBLICA
20170111986,2019,ALUNO DE GRADUAÇÃO,GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO
20172003647,2019,ALUNO DE PÓS-GRADUAÇÃO,GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO
20150132639,2019,ALUNO DE GRADUAÇÃO,MATEMÁTICA APLICADA E ESTATÍSTICA
20170141840,2019,ALUNO DE GRADUAÇÃO,INOVAÇÃO EM TECNOLOGIAS EDUCACIONAIS
20182009330,2019,ALUNO DE PÓS-GRADUAÇÃO,BIOECOLOGIA AQUÁTICA
20155136229,2019,ALUNO DE GRADUAÇÃO,BIOECOLOGIA AQUÁTICA
20180033838,2019,ALUNO DE GRADUAÇÃO,DIREITO
20171005262,2019,ALUNO DE PÓS-GRADUAÇÃO,NANOTECNOLOGIA FARMACÊUTICA
20182028407,2019,ALUNO DE PÓS-GRADUAÇÃO,DIREITO
20155134995,2019,ALUNO DE GRADUAÇÃO,EDUCAÇÃO
20150114013,2019,ALUNO DE GRADUAÇÃO,DIREITO
20160147724,2019,ALUNO DE GRADUAÇÃO,NANOTECNOLOGIA FARMACÊUTICA
20170042314,2019,ALUNO DE GRADUAÇÃO,DIREITO
20181014200,2019,ALUNO DE PÓS-GRADUAÇÃO,EDUCAÇÃO
20170029994,2019,ALUNO DE GRADUAÇÃO,BIOECOLOGIA AQUÁTICA
20172001698,2019,ALUNO DE PÓS-GRADUAÇÃO,EDUCAÇÃO
20180129080,2019,ALUNO DE GRADUAÇÃO,BIOECOLOGIA AQUÁTICA
20171011152,2019,ALUNO DE PÓS-GRADUAÇÃO,GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO
20181004830,2019,ALUNO DE PÓS-GRADUAÇÃO,INOVAÇÃO EM TECNOLOGIAS EDUCACIONAIS
20171021918,2019,ALUNO DE PÓS-GRADUAÇÃO,MATEMÁTICA APLICADA E ESTATÍSTICA
2013027408,2019,ALUNO DE GRADUAÇÃO,INOVAÇÃO EM TECNOLOGIAS EDUCACIONAIS
20170063593,2019,ALUNO DE GRADUAÇÃO,MATEMÁTICA APLICADA E ESTATÍSTICA
20182046174,2019,ALUNO DE PÓS-GRADUAÇÃO,ANTROPOLOGIA SOCIAL
20180098930,2019,ALUNO DE GRADUAÇÃO,BIOECOLOGIA AQUÁTICA
20201003354,2019,ALUNO DE PÓS-GRADUAÇÃO,MATEMÁTICA APLICADA E ESTATÍSTICA
20170003915,2019,ALUNO DE GRADUAÇÃO,MATEMÁTICA APLICADA E ESTATÍSTICA
20170035276,2019,ALUNO DE GRADUAÇÃO,BIOLOGIA PARASITÁRIA
20180088999,2019,ALUNO DE GRADUAÇÃO,GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO
20160140910,2019,ALUNO DE GRADUAÇÃO,NANOTECNOLOGIA FARMACÊUTICA
20181005794,2019,ALUNO DE PÓS-GRADUAÇÃO,GESTÃO PÚBLICA
20180137903,2019,ALUNO DE GRADUAÇÃO,DIREITO
20170180043,2019,ALUNO DE GRADUAÇÃO,EDUCAÇÃO
20161025646,2019,ALUNO DE PÓS-GRADUAÇÃO,INOVAÇÃO EM TECNOLOGIAS EDUCACIONAIS
20170110880,2019,ALUNO DE GRADUAÇÃO,NANOTECNOLOGIA FARMACÊUTICA
20160135311,2019,ALUNO DE GRADUAÇÃO,NANOTECNOLOGIA FARMACÊUTICA
20151023479,2019,ALUNO DE PÓS-GRADUAÇÃO,EDUCAÇÃO
20180008595,2019,ALUNO DE GRADUAÇÃO,CIÊNCIAS CLIMÁTICAS
20180012711,2019,ALUNO DE GRADUAÇÃO,MATEMÁTICA APLICADA E ESTATÍSTICA
20180022217,2019,ALUNO DE GRADUAÇÃO,CIÊNCIAS CLIMÁTICAS
20181011693,2019,ALUNO DE PÓS-GRADUAÇÃO,GESTÃO PÚBLICA
2015068508,2019,ALUNO DE GRADUAÇÃO,BIOECOLOGIA AQUÁTICA
20161016790,2019,ALUNO DE PÓS-GRADUAÇÃO,CIÊNCIAS CLIMÁTICAS
20181021911,2019,ALUNO DE PÓS-GRADUAÇÃO,DIREITO
20180023214,2019,ALUNO DE GRADUAÇÃO,MATEMÁTICA APLICADA E ESTATÍSTICA
2009037820,2019,ALUNO DE GRADUAÇÃO,BIOLOGIA PARASITÁRIA
20170097537,2019,ALUNO DE GRADUAÇÃO,BIOECOLOGIA AQUÁTICA
20161019068,2019,ALUNO DE PÓS-GRADUAÇÃO,GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO
2012932073,2019,ALUNO DE GRADUAÇÃO,MATEMÁTICA APLICADA E ESTATÍSTICA
20211016436,2019,ALUNO DE PÓS-GRADUAÇÃO,EDUCAÇÃO
20150118952,2019,ALUNO DE GRADUAÇÃO,BIOECOLOGIA AQUÁTICA
20150119771,2019,ALUNO DE GRADUAÇÃO,INOVAÇÃO EM TECNOLOGIAS EDUCACIONAIS
2014024124,2019,ALUNO DE GRADUAÇÃO,MATEMÁTICA APLICADA E ESTATÍSTICA
20171001906,2019,ALUNO DE PÓS-GRADUAÇÃO,GESTÃO PÚBLICA
2016004541,2019,ALUNO DE GRADUAÇÃO,INOVAÇÃO EM TECNOLOGIAS EDUCACIONAIS
20180005252,2019,ALUNO DE GRADUAÇÃO,BIOLOGIA PARASITÁRIA
2014071750,2019,ALUNO DE GRADUAÇÃO,GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO
2013082491,2019,ALUNO DE GRADUAÇÃO,ANTROPOLOGIA SOCIAL
20180091671,2019,ALUNO DE GRADUAÇÃO,MATEMÁTICA APLICADA E ESTATÍSTICA
20161012020,2019,ALUNO DE PÓS-GRADUAÇÃO,CIÊNCIAS CLIMÁTICAS
20171019750,2019,ALUNO DE PÓS-GRADUAÇÃO,NANOTECNOLOGIA FARMACÊUTICA
20180064093,2019,ALUNO DE GRADUAÇÃO,BIOLOGIA PARASITÁRIA
